"Texte";"Commentaires"
"absence";"anglais ou français selon le contexte"
"action";"anglais ou français selon le contexte"
"adaptation";"anglais ou français selon le contexte"
"administration";"anglais ou français selon le contexte"
"admission";"anglais ou français selon le contexte"
"adolescent";"anglais ou français selon le contexte"
"affluence";"anglais ou français selon le contexte"
"affluent";"anglais ou français selon le contexte"
"agenda";"anglais ou français selon le contexte"
"agriculture";"anglais ou français selon le contexte"
"aimable";"noms propres ou communs selon le contexte"
"aimé";"noms propres ou communs selon le contexte"
"aimée";"noms propres ou communs selon le contexte"
"air";"anglais ou français selon le contexte"
"alla";"français ou italiens selon le contexte"
"alliance";"anglais ou français selon le contexte"
"alternative";"anglais ou français selon le contexte"
"ambition";"anglais ou français selon le contexte"
"amiable";"anglais ou français selon le contexte"
"ange";"noms propres ou communs selon le contexte"
"applicable";"anglais ou français selon le contexte"
"application";"anglais ou français selon le contexte"
"archives";"anglais ou français selon le contexte"
"arrangement";"anglais ou français selon le contexte"
"art";"anglais ou français selon le contexte"
"arts";"anglais ou français selon le contexte"
"asperger";"noms propres ou communs selon le contexte"
"assise";"français ou italiens selon le contexte"
"assistant";"anglais ou français selon le contexte"
"association";"anglais ou français selon le contexte"
"attitude";"anglais ou français selon le contexte"
"attraction";"anglais ou français selon le contexte"
"aurore";"noms propres ou communs selon le contexte"
"aviation";"anglais ou français selon le contexte"
"ballet";"anglais ou français selon le contexte"
"bar";"anglais ou français selon le contexte"
"barbe";"noms propres ou communs selon le contexte"
"ben";"noms propres ou communs selon le contexte (abréviation de Benjamin)"
"benjamin";"noms propres ou communs selon le contexte"
"bien";"français ou espagnols selon le contexte (muy bien)"
"billions";"anglais ou français selon le contexte"
"bin";"français ou allemands selon le contexte"
"bitte";"français ou allemands selon le contexte"
"black";"anglais ou français selon le contexte (s)"
"blair";"noms propres ou communs selon le contexte (Tony)"
"blanche";"noms propres ou communs selon le contexte"
"blue";"anglais ou français selon le contexte (jean)"
"blues";"anglais ou français selon le contexte"
"border";"anglais ou français selon le contexte"
"boulevard";"anglais ou français selon le contexte"
"brigade";"anglais ou français selon le contexte"
"browning";"noms propres ou communs selon le contexte (Robert)"
"brutal";"anglais ou français selon le contexte"
"budget";"anglais ou français selon le contexte"
"building";"anglais ou français selon le contexte"
"bulletin";"anglais ou français selon le contexte"
"bureau";"anglais ou français selon le contexte"
"cancer";"anglais ou français selon le contexte"
"candidate";"anglais ou français selon le contexte"
"candide";"noms propres ou communs selon le contexte"
"car";"anglais ou français selon le contexte"
"casting";"anglais ou français selon le contexte"
"castor";"noms propres ou communs selon le contexte"
"cause";"anglais ou français selon le contexte"
"caution";"anglais ou français selon le contexte"
"cent";"anglais ou français selon le contexte"
"central";"anglais ou français selon le contexte"
"centre";"anglais ou français selon le contexte"
"certain";"anglais ou français selon le contexte"
"cessation";"anglais ou français selon le contexte"
"chair";"anglais ou français selon le contexte"
"challenge";"anglais ou français selon le contexte"
"change";"anglais ou français selon le contexte"
"chaos";"anglais ou français selon le contexte"
"charge";"anglais ou français selon le contexte"
"charitable";"anglais ou français selon le contexte"
"christ";"anglais ou français selon le contexte"
"christian";"anglais ou français selon le contexte"
"cigarette";"anglais ou français selon le contexte"
"circuit";"anglais ou français selon le contexte"
"circulation";"anglais ou français selon le contexte"
"civil";"anglais ou français selon le contexte"
"claire";"noms propres ou communs selon le contexte"
"club";"anglais ou français selon le contexte"
"clémence";"noms propres ou communs selon le contexte"
"clément";"noms propres ou communs selon le contexte"
"clémentine";"noms propres ou communs selon le contexte"
"coalition";"anglais ou français selon le contexte"
"cognition";"anglais ou français selon le contexte"
"collaboration";"anglais ou français selon le contexte"
"collection";"anglais ou français selon le contexte"
"collective";"anglais ou français selon le contexte"
"combat";"anglais ou français selon le contexte"
"comment";"anglais ou français selon le contexte"
"commerce";"anglais ou français selon le contexte"
"commission";"anglais ou français selon le contexte"
"commode";"noms propres ou communs selon le contexte"
"communal";"anglais ou français selon le contexte"
"commune";"anglais ou français selon le contexte"
"communication";"anglais ou français selon le contexte"
"compose";"anglais ou français selon le contexte"
"composition";"anglais ou français selon le contexte"
"concentration";"anglais ou français selon le contexte"
"concept";"anglais ou français selon le contexte"
"conception";"anglais ou français selon le contexte"
"concert";"anglais ou français selon le contexte"
"concession";"anglais ou français selon le contexte"
"concise";"anglais ou français selon le contexte"
"conclusion";"anglais ou français selon le contexte"
"confidence";"anglais ou français selon le contexte"
"confine";"anglais ou français selon le contexte"
"confinement";"anglais ou français selon le contexte"
"conflagration";"anglais ou français selon le contexte"
"confusion";"anglais ou français selon le contexte"
"conscience";"anglais ou français selon le contexte"
"consensus";"anglais ou français selon le contexte"
"consent";"anglais ou français selon le contexte"
"consolation";"noms propres ou communs selon le contexte"
"constance";"noms propres ou communs selon le contexte"
"constant";"noms propres ou communs selon le contexte"
"constellation";"anglais ou français selon le contexte"
"constructive";"anglais ou français selon le contexte"
"consume";"anglais ou français selon le contexte (to)"
"consumer";"anglais ou français selon le contexte"
"contagion";"anglais ou français selon le contexte"
"content";"anglais ou français selon le contexte"
"continent";"anglais ou français selon le contexte"
"continental";"anglais ou français selon le contexte"
"continue";"anglais ou français selon le contexte (to)"
"contradiction";"anglais ou français selon le contexte"
"contribution";"anglais ou français selon le contexte"
"convention";"anglais ou français selon le contexte"
"conversation";"anglais ou français selon le contexte"
"converse";"anglais ou français selon le contexte"
"corner";"anglais ou français selon le contexte"
"corporation";"anglais ou français selon le contexte"
"corps";"anglais ou français selon le contexte"
"correction";"anglais ou français selon le contexte"
"corruption";"anglais ou français selon le contexte"
"couple";"anglais ou français selon le contexte"
"course";"anglais ou français selon le contexte"
"court";"anglais ou français selon le contexte"
"crime";"anglais ou français selon le contexte"
"cycle";"anglais ou français selon le contexte"
"cyclone";"anglais ou français selon le contexte"
"césar";"noms propres ou communs selon le contexte"
"de";"français ou latin selon le contexte"
"den";"français ou allemands selon le contexte"
"der";"français ou allemands selon le contexte"
"destination";"anglais ou français selon le contexte"
"destruction";"anglais ou français selon le contexte"
"dimension";"anglais ou français selon le contexte"
"discrimination";"anglais ou français selon le contexte"
"discussion";"anglais ou français selon le contexte"
"distance";"anglais ou français selon le contexte"
"distribution";"anglais ou français selon le contexte"
"district";"anglais ou français selon le contexte"
"diversion";"anglais ou français selon le contexte"
"division";"anglais ou français selon le contexte"
"divorce";"anglais ou français selon le contexte"
"document";"anglais ou français selon le contexte"
"don";"noms propres ou communs selon le contexte (abréviation de Donald)"
"donation";"anglais ou français selon le contexte"
"donna";"noms propres ou communs selon le contexte"
"donne";"français ou italiens selon le contexte"
"double";"anglais ou français selon le contexte"
"détroit";"noms propres ou communs selon le contexte"
"effective";"anglais ou français selon le contexte"
"effort";"anglais ou français selon le contexte"
"engage";"anglais ou français selon le contexte (to)"
"engagement";"anglais ou français selon le contexte"
"escape";"anglais ou français selon le contexte"
"exercices";"anglais ou français selon le contexte"
"exhibition";"anglais ou français selon le contexte"
"expansion";"anglais ou français selon le contexte"
"expert";"anglais ou français selon le contexte"
"expertise";"anglais ou français selon le contexte"
"exploration";"anglais ou français selon le contexte"
"explore";"anglais ou français selon le contexte (to)"
"explorer";"anglais ou français selon le contexte"
"explosion";"anglais ou français selon le contexte"
"explosive";"anglais ou français selon le contexte"
"export";"anglais ou français selon le contexte (to)"
"exportation";"anglais ou français selon le contexte"
"express";"anglais ou français selon le contexte (Daily)"
"expulsion";"anglais ou français selon le contexte"
"extraction";"anglais ou français selon le contexte"
"extradition";"anglais ou français selon le contexte"
"fabrication";"anglais ou français selon le contexte"
"far";"anglais ou français selon le contexte"
"fashion";"anglais ou français selon le contexte"
"feeling";"anglais ou français selon le contexte"
"fiction";"anglais ou français selon le contexte"
"figure";"anglais ou français selon le contexte"
"finances";"anglais ou français selon le contexte"
"fleur";"noms propres ou communs selon le contexte"
"flore";"noms propres ou communs selon le contexte"
"florentin";"noms propres ou communs selon le contexte"
"for";"anglais ou français selon le contexte"
"force";"anglais ou français selon le contexte"
"former";"anglais ou français selon le contexte"
"fortune";"anglais ou français selon le contexte"
"four";"anglais ou français selon le contexte"
"fraction";"anglais ou français selon le contexte"
"fragment";"anglais ou français selon le contexte"
"franchise";"anglais ou français selon le contexte"
"front";"anglais ou français selon le contexte"
"fruit";"anglais ou français selon le contexte"
"gang";"anglais ou français selon le contexte"
"garance";"noms propres ou communs selon le contexte"
"global";"anglais ou français selon le contexte"
"globe";"anglais ou français selon le contexte"
"gloria";"noms propres ou communs selon le contexte"
"gorge";"anglais ou français selon le contexte"
"gracias";"français ou espagnols selon le contexte"
"grand";"anglais ou français selon le contexte"
"grande";"français ou italiens selon le contexte"
"grave";"anglais ou français selon le contexte"
"graves";"anglais ou français selon le contexte"
"grill";"anglais ou français selon le contexte"
"hier";"français ou allemands selon le contexte"
"horizon";"anglais ou français selon le contexte"
"horizontal";"anglais ou français selon le contexte"
"il";"français ou italiens selon le contexte"
"illumination";"anglais ou français selon le contexte"
"illusion";"anglais ou français selon le contexte"
"images";"anglais ou français selon le contexte"
"imagination";"anglais ou français selon le contexte"
"immigrant";"anglais ou français selon le contexte"
"immigration";"anglais ou français selon le contexte"
"implication";"anglais ou français selon le contexte"
"importance";"anglais ou français selon le contexte"
"important";"anglais ou français selon le contexte"
"impossible";"anglais ou français selon le contexte"
"inaction";"anglais ou français selon le contexte"
"inaugural";"anglais ou français selon le contexte"
"incapable";"anglais ou français selon le contexte"
"index";"anglais ou français selon le contexte"
"indispensable";"anglais ou français selon le contexte"
"industries";"anglais ou français selon le contexte"
"influence";"anglais ou français selon le contexte"
"information";"anglais ou français selon le contexte"
"infrastructure";"anglais ou français selon le contexte"
"injustice";"anglais ou français selon le contexte"
"innocent";"noms propres ou communs selon le contexte"
"institution";"anglais ou français selon le contexte"
"intact";"anglais ou français selon le contexte"
"intelligence";"anglais ou français selon le contexte"
"intensive";"anglais ou français selon le contexte"
"interaction";"anglais ou français selon le contexte"
"interactive";"anglais ou français selon le contexte"
"interchangeable";"anglais ou français selon le contexte"
"international";"anglais ou français selon le contexte"
"interracial";"anglais ou français selon le contexte"
"interview";"anglais ou français selon le contexte"
"introduction";"anglais ou français selon le contexte"
"invasion";"anglais ou français selon le contexte"
"investigation";"anglais ou français selon le contexte"
"isolation";"anglais ou français selon le contexte"
"issue";"anglais ou français selon le contexte"
"jersey";"anglais ou français selon le contexte"
"joint";"anglais ou français selon le contexte"
"journal";"anglais ou français selon le contexte"
"justice";"anglais ou français selon le contexte"
"justification";"anglais ou français selon le contexte"
"la";"français ou italiens selon le contexte"
"labour";"anglais ou français selon le contexte"
"land";"anglais ou français selon le contexte"
"large";"anglais ou français selon le contexte"
"latte";"français ou italiens selon le contexte"
"le";"français ou italiens selon le contexte"
"lecture";"anglais ou français selon le contexte"
"les";"noms propres ou communs selon le contexte (abréviation de Leslie)"
"lion";"anglais ou français selon le contexte"
"long";"anglais ou français selon le contexte"
"loup";"noms propres ou communs selon le contexte"
"lourdes";"noms propres ou communs selon le contexte"
"lumière";"noms propres ou communs selon le contexte"
"machine";"anglais ou français selon le contexte"
"mail";"anglais ou français selon le contexte"
"main";"français ou allemands selon le contexte"
"major";"anglais ou français selon le contexte"
"management";"anglais ou français selon le contexte"
"mange";"français ou néerlandais selon le contexte"
"marin";"noms propres ou communs selon le contexte"
"marjolaine";"noms propres ou communs selon le contexte"
"massage";"anglais ou français selon le contexte"
"me";"anglais ou français selon le contexte"
"message";"anglais ou français selon le contexte"
"militant";"anglais ou français selon le contexte"
"million";"anglais ou français selon le contexte"
"mines";"anglais ou français selon le contexte"
"miracle";"anglais ou français selon le contexte"
"missile";"anglais ou français selon le contexte"
"mission";"anglais ou français selon le contexte"
"mobile";"anglais ou français selon le contexte"
"moment";"anglais ou français selon le contexte"
"mon";"français ou néerlandais selon le contexte"
"monument";"anglais ou français selon le contexte"
"narcisse";"noms propres ou communs selon le contexte"
"nation";"anglais ou français selon le contexte"
"national";"anglais ou français selon le contexte"
"nature";"anglais ou français selon le contexte"
"noble";"anglais ou français selon le contexte"
"noise";"anglais ou français selon le contexte"
"normal";"anglais ou français selon le contexte"
"nutrition";"anglais ou français selon le contexte"
"observation";"anglais ou français selon le contexte"
"observe";"anglais ou français selon le contexte (to)"
"observer";"anglais ou français selon le contexte"
"occurrence";"anglais ou français selon le contexte"
"office";"anglais ou français selon le contexte"
"olivier";"noms propres ou communs selon le contexte"
"on";"anglais ou français selon le contexte"
"open";"anglais ou français selon le contexte"
"opinion";"anglais ou français selon le contexte"
"oppression";"anglais ou français selon le contexte"
"oppressive";"anglais ou français selon le contexte"
"option";"anglais ou français selon le contexte"
"orange";"anglais ou français selon le contexte (Compté d')"
"orchestra";"anglais ou français selon le contexte"
"orientation";"anglais ou français selon le contexte"
"oscar";"noms propres ou communs selon le contexte"
"ovation";"anglais ou français selon le contexte"
"pain";"anglais ou français selon le contexte"
"part";"anglais ou français selon le contexte"
"partial";"anglais ou français selon le contexte"
"participation";"anglais ou français selon le contexte"
"parties";"anglais ou français selon le contexte"
"partisan";"anglais ou français selon le contexte"
"passion";"anglais ou français selon le contexte"
"patience";"noms propres ou communs selon le contexte"
"patient";"anglais ou français selon le contexte"
"people";"anglais ou français selon le contexte"
"perceptible";"anglais ou français selon le contexte"
"perception";"anglais ou français selon le contexte"
"performance";"anglais ou français selon le contexte"
"perspective";"anglais ou français selon le contexte"
"place";"anglais ou français selon le contexte"
"plain";"anglais ou français selon le contexte"
"plan";"anglais ou français selon le contexte"
"plate";"anglais ou français selon le contexte"
"point";"anglais ou français selon le contexte"
"poison";"anglais ou français selon le contexte"
"pollution";"anglais ou français selon le contexte"
"population";"anglais ou français selon le contexte"
"porter";"anglais ou français selon le contexte"
"portrait";"anglais ou français selon le contexte"
"prairie";"anglais ou français selon le contexte"
"premier";"anglais ou français selon le contexte"
"primo";"français ou italiens selon le contexte (Levi)"
"prince";"anglais ou français selon le contexte"
"principe";"français ou espagnols selon le contexte"
"privation";"anglais ou français selon le contexte"
"probable";"anglais ou français selon le contexte"
"production";"anglais ou français selon le contexte"
"productive";"anglais ou français selon le contexte"
"profile";"anglais ou français selon le contexte"
"profit";"anglais ou français selon le contexte"
"progression";"anglais ou français selon le contexte"
"progressive";"anglais ou français selon le contexte"
"prohibition";"anglais ou français selon le contexte"
"projectile";"anglais ou français selon le contexte"
"projection";"anglais ou français selon le contexte"
"promise";"anglais ou français selon le contexte"
"propulsion";"anglais ou français selon le contexte"
"prospectus";"anglais ou français selon le contexte"
"protection";"anglais ou français selon le contexte"
"province";"anglais ou français selon le contexte"
"prudence";"noms propres ou communs selon le contexte"
"public";"anglais ou français selon le contexte"
"python";"anglais ou français selon le contexte"
"question";"anglais ou français selon le contexte"
"quiet";"anglais ou français selon le contexte"
"range";"anglais ou français selon le contexte"
"ranger";"anglais ou français selon le contexte"
"reconnaissance";"anglais ou français selon le contexte"
"records";"anglais ou français selon le contexte"
"relation";"anglais ou français selon le contexte"
"replacement";"anglais ou français selon le contexte"
"report";"anglais ou français selon le contexte"
"reporter";"anglais ou français selon le contexte"
"restriction";"anglais ou français selon le contexte"
"revenant";"anglais ou français selon le contexte"
"reverse";"anglais ou français selon le contexte"
"river";"anglais ou français selon le contexte"
"romain";"noms propres ou communs selon le contexte"
"roses";"anglais ou français selon le contexte"
"réprouvé";"noms propres ou communs selon le contexte"
"sache";"français ou allemands selon le contexte"
"saint";"anglais ou français selon le contexte"
"saints";"anglais ou français selon le contexte"
"satin";"anglais ou français selon le contexte"
"satisfaction";"anglais ou français selon le contexte"
"science";"anglais ou français selon le contexte"
"sciences";"anglais ou français selon le contexte"
"script";"anglais ou français selon le contexte"
"se";"français ou italiens selon le contexte (per se)"
"second";"anglais ou français selon le contexte"
"secret";"anglais ou français selon le contexte"
"sein";"français ou allemands selon le contexte"
"sensation";"anglais ou français selon le contexte"
"sentiment";"anglais ou français selon le contexte"
"sentimental";"anglais ou français selon le contexte"
"sentir";"français ou espagnols selon le contexte"
"services";"anglais ou français selon le contexte"
"session";"anglais ou français selon le contexte"
"si";"français ou italiens selon le contexte"
"signal";"anglais ou français selon le contexte"
"silence";"anglais ou français selon le contexte"
"simple";"anglais ou français selon le contexte"
"singer";"noms propres ou communs selon le contexte (machines à coudre)"
"situation";"anglais ou français selon le contexte"
"solution";"anglais ou français selon le contexte"
"son";"français ou néerlandais selon le contexte"
"source";"anglais ou français selon le contexte"
"sport";"anglais ou français selon le contexte"
"square";"anglais ou français selon le contexte"
"standard";"anglais ou français selon le contexte"
"standing";"anglais ou français selon le contexte"
"star";"anglais ou français selon le contexte"
"station";"anglais ou français selon le contexte"
"steamer";"anglais ou français selon le contexte"
"stores";"anglais ou français selon le contexte"
"strip";"anglais ou français selon le contexte (tease)"
"substance";"anglais ou français selon le contexte"
"support";"anglais ou français selon le contexte"
"sur";"anglais ou français selon le contexte  (Big Sur, région de Californie)"
"swing";"anglais ou français selon le contexte"
"sylvestre";"noms propres ou communs selon le contexte"
"table";"anglais ou français selon le contexte"
"taxes";"anglais ou français selon le contexte"
"techniques";"anglais ou français selon le contexte"
"temple";"anglais ou français selon le contexte"
"tension";"anglais ou français selon le contexte"
"torture";"anglais ou français selon le contexte"
"tour";"anglais ou français selon le contexte"
"tours";"noms propres ou communs selon le contexte"
"tradition";"anglais ou français selon le contexte"
"train";"anglais ou français selon le contexte"
"training";"anglais ou français selon le contexte"
"transaction";"anglais ou français selon le contexte"
"transcription";"anglais ou français selon le contexte"
"transformation";"anglais ou français selon le contexte"
"transfusion";"anglais ou français selon le contexte"
"translation";"anglais ou français selon le contexte"
"transport";"anglais ou français selon le contexte"
"transportation";"anglais ou français selon le contexte"
"tribune";"anglais ou français selon le contexte"
"triple";"anglais ou français selon le contexte"
"tropical";"anglais ou français selon le contexte"
"trouble";"anglais ou français selon le contexte"
"trust";"anglais ou français selon le contexte"
"union";"anglais ou français selon le contexte"
"uns";"français ou allemands selon le contexte"
"urbain";"noms propres ou communs selon le contexte"
"urgent";"anglais ou français selon le contexte"
"vacation";"anglais ou français selon le contexte"
"variation";"anglais ou français selon le contexte"
"vengeance";"anglais ou français selon le contexte"
"version";"anglais ou français selon le contexte"
"vibration";"anglais ou français selon le contexte"
"victoire";"noms propres ou communs selon le contexte"
"vienne";"noms propres ou communs selon le contexte"
"village";"anglais ou français selon le contexte (Greenwich)"
"violence";"anglais ou français selon le contexte"
"violent";"anglais ou français selon le contexte"
"violette";"noms propres ou communs selon le contexte"
"vocation";"anglais ou français selon le contexte"
"von";"Particule de nom allemand"
"yacht";"anglais ou français selon le contexte"
"zones";"anglais ou français selon le contexte"
